Manuscript,Taxa,Total_Field_Seasons,Device_Pairing_Abbreviation,Intermediate_Device_Pairing,Broad_Device_Pairings,Tracking_Group,Monitor_Group,Discipline,Sub_discipline,Single_or_Multiple_Pairing,Total_Devices,Water_Type,Min_C_Depth_m,Max_C_Depth_m,Min_length_Tag_cm,Max_length_Tag_cm,Min_Days_Tracked,Max_Days_Tracked,Min_Hours_Recorded,Max_Hours_Recorded,Notes,Depth_groups,Length_Groups,Tracking_Days,Recording_Hours
Holsman_2006,Decapoda,3,AC + Stationary,Acoustic_Stationary,Receiver_Stationary,Acoustic,Stationary,Behavioural Ecology,Population structuring,Single,2,Saltwater,Not Reported,NA,4,13,Not Reported,NA,Not Reported,NA,,NA,Small (<28.5cm),NA,NA
Hooker_2015,Phocidae,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Sociality,Single,2,Saltwater,0,55,NA,Not Reported,5,7,18,369,,2m to 61m,NA,Medium Term (3-170d),Long Term (>20hr)
Hooker_2015,Phocidae,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Methodological,Feasibility,Single,2,Saltwater,0,55,NA,Not Reported,5,7,18,369,,2m to 61m,NA,Medium Term (3-170d),Long Term (>20hr)
Hooker_2015,Phocidae,3,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Single,2,Saltwater,0,55,NA,Not Reported,5,7,18,369,,2m to 61m,NA,Medium Term (3-170d),Long Term (>20hr)
Hooker_2021,Phocidae,9,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,0,200,120,290,0.00215,0.3417,0,8.2,,>61m,Medium (28.5-120cm),Short Term (<3d),Medium Term (2-20hr)
Hooker_2021,Phocidae,9,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Behavioural Ecology,Energetics,Multiple,3,Saltwater,0,200,120,290,0.00215,0.3417,0,8.2,,>61m,Medium (28.5-120cm),Short Term (<3d),Medium Term (2-20hr)
Hooker_2021,Phocidae,9,DD + AB,DataLogger_Animalborne,NoReceiver_Animalborne,Data Logger,Animal-borne,Other Drivers of Movement and Behavior,Demographics,Multiple,3,Saltwater,0,200,120,290,0.00215,0.3417,0,8.2,,>61m,Medium (28.5-120cm),Short Term (<3d),Medium Term (2-20hr)
Horning_2009,Phocidae,4,DD + SA + Mobile,DataLogger_Satellite_Mobile,NoReceiver_Mobile,Data Logger_Satellite,Mobile,Behavioural Ecology,Predator_prey interactions,Multiple,3,Saltwater,not Reported,NA,NA,Not Reported,67,136,0.1667,22,"verification - where data loggers could record mortality events, satellite tags provided location data, and they opportunistically used video data from another study that provided information on one of their tagged individuals to identify body condition = The last uplink and location from a tracking device externally attached to this animal occurred 46.5 h prior to death, and dive data suggest no unusual activities. Thus, it is highly unlikely that the mass of TJ32 was substantially below the release mass of 146 kg",NA,NA,Medium Term (3-170d),Long Term (>20hr)
Hounslow_2023,Reptilia,3,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Behavioural Ecology,Habitat and space use,Multiple,3,Saltwater,Not Reported,NA,72.5,98.9,0.1,6.6,0.4,7.5,,NA,Medium (28.5-120cm),Medium Term (3-170d),Medium Term (2-20hr)
Hounslow_2023,Reptilia,3,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Behavioural Ecology,Behavioural states and adaptations,Multiple,3,Saltwater,Not Reported,NA,72.5,98.9,0.1,6.6,0.4,7.5,,NA,Medium (28.5-120cm),Medium Term (3-170d),Medium Term (2-20hr)
Hounslow_2023,Reptilia,3,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Conservation Measures,Marine protected areas and reserves,Multiple,3,Saltwater,Not Reported,NA,72.5,98.9,0.1,6.6,0.4,7.5,,NA,Medium (28.5-120cm),Medium Term (3-170d),Medium Term (2-20hr)
Hounslow_2023,Reptilia,3,DD + SA + AB,DataLogger_Satellite_Animalborne,NoReceiver_Animalborne,Data Logger_Satellite,Animal-borne,Methodological,Feasibility,Multiple,3,Saltwater,Not Reported,NA,72.5,98.9,0.1,6.6,0.4,7.5,,NA,Medium (28.5-120cm),Medium Term (3-170d),Medium Term (2-20hr)
